Episode,Reward_MA,Loss_MA,Q_Value_MA,Epsilon
1,nan,nan,nan,1.0
2,nan,nan,nan,0.995
3,nan,nan,nan,0.990025
4,nan,nan,nan,0.985074875
5,nan,nan,nan,0.9801495006250001
6,nan,nan,nan,0.9752487531218751
7,nan,nan,nan,0.9703725093562657
8,nan,nan,nan,0.9655206468094844
9,nan,nan,nan,0.960693043575437
10,nan,nan,nan,0.9558895783575597
11,nan,nan,nan,0.9511101304657719
12,nan,nan,nan,0.946354579813443
13,nan,nan,nan,0.9416228069143757
14,nan,nan,nan,0.9369146928798039
15,nan,nan,nan,0.9322301194154049
16,nan,nan,nan,0.9275689688183278
17,nan,nan,nan,0.9229311239742362
18,nan,nan,nan,0.918316468354365
19,nan,nan,nan,0.9137248860125932
20,-157.8564838766719,2.5132497266515452,1.1392222659812068,0.9091562615825302
21,-164.07010973322508,2.5142342492841223,1.4302428367020068,0.9046104802746175
22,-186.40149586471807,2.475000276616307,1.369762894019333,0.9000874278732445
23,-174.38951843781342,2.433023249922722,1.4527597695185224,0.8955869907338783
24,-171.0424423066146,2.374133781286483,1.4854778121991996,0.8911090557802088
25,-179.1633158501008,2.3438313162350113,1.522246621648274,0.8866535105013078
26,-179.44460125310025,2.3015958830336674,1.5459019694407505,0.8822202429488013
27,-180.98614136162695,2.2675770319659136,1.3941662760245916,0.8778091417340573
28,-177.7202713051564,2.2426832013634215,1.2777160047696805,0.8734200960253871
29,-186.02262323118583,2.2074347576713627,1.2613157030191167,0.8690529955452602
30,-183.8380268885634,2.1798093417465165,1.2650788938474846,0.8647077305675338
31,-180.02381758117565,2.1498053264700694,1.517428004667696,0.8603841919146962
32,-177.50019822323455,2.13335041533736,1.6929768915677899,0.8560822709551227
33,-168.57685130770554,2.1158628029273996,1.8766064650923195,0.851801859600347
34,-162.50656075659356,2.089893467062914,2.122005395622481,0.8475428503023453
35,-156.06065304731058,2.072145870793652,2.280527272189273,0.8433051360508336
36,-160.62984051703023,2.07520503706823,2.5351612361710085,0.8390886103705794
37,-161.01416687498764,2.052272899623212,2.6793027406952676,0.8348931673187264
38,-163.5085662175468,2.0489361813807,2.6069363980637115,0.8307187014821328
39,-163.58372800774532,2.0390937603665518,2.7423434850654567,0.8265651079747222
40,-155.0014651351497,2.029132389717812,2.989899355057767,0.8224322824348486
41,-156.28369871740895,2.0205632128595927,2.9396033927006955,0.8183201210226743
42,-142.44214747335204,2.002813701298702,3.367023901694921,0.8142285204175609
